timestamp,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
1970-01-14 10:01:13.338653,4183.462,4175.641,4280.0,4231.282,4258.846,4164.359,4155.897,4212.692,4220.769,4160.385,4568.718,4290.0,4369.231,4470.385
1970-01-14 10:01:13.338703,4175.128,4169.744,4273.718,4223.462,4238.205,4157.308,4148.333,4205.128,4216.538,4150.513,4560.769,4282.821,4358.59,4462.949
1970-01-14 10:01:13.338732,4168.333,4166.282,4269.487,4219.872,4210.385,4149.359,4141.154,4195.769,4209.615,4144.615,4551.923,4275.385,4350.513,4456.282
1970-01-14 10:01:13.338760,4166.795,4166.154,4268.462,4221.538,4188.077,4143.462,4135.769,4188.333,4203.59,4146.667,4545.897,4270.256,4347.821,4454.103
1970-01-14 10:01:13.350797,4170.128,4168.205,4269.615,4224.744,4180.256,4141.154,4132.949,4185.897,4201.538,4153.718,4544.615,4268.846,4350.128,4456.41
1970-01-14 10:01:13.350845,4174.231,4170.0,4270.897,4224.615,4185.128,4140.897,4132.436,4188.333,4203.333,4158.077,4546.795,4270.0,4353.333,4459.359
1970-01-14 10:01:13.350873,4174.615,4169.872,4270.641,4220.0,4193.718,4140.128,4133.333,4192.308,4206.154,4153.974,4548.59,4270.897,4353.205,4459.103
1970-01-14 10:01:13.350900,4170.897,4167.821,4269.744,4214.872,4202.436,4139.615,4135.513,4195.0,4207.692,4143.077,4548.077,4270.769,4349.103,4455.897
1970-01-14 10:01:13.365764,4167.436,4166.282,4270.897,4215.0,4218.333,4143.333,4140.0,4196.154,4208.59,4133.59,4547.436,4271.282,4345.513,4454.487
1970-01-14 10:01:13.365809,4167.949,4167.436,4275.385,4221.795,4248.462,4153.974,4146.795,4197.692,4210.769,4133.077,4549.231,4274.615,4347.051,4457.949
1970-01-14 10:01:13.365837,4172.051,4170.513,4279.872,4230.769,4281.154,4167.821,4153.077,4200.128,4214.487,4140.641,4553.077,4278.59,4353.333,4464.103
1970-01-14 10:01:13.365864,4175.385,4172.692,4278.846,4235.513,4288.077,4175.641,4154.103,4201.154,4216.795,4148.205,4554.872,4278.333,4358.333,4466.282
1970-01-14 10:01:13.380790,4173.974,4171.282,4270.128,4232.179,4250.897,4170.385,4146.923,4198.077,4215.641,4148.077,4551.154,4271.795,4356.795,4460.769
1970-01-14 10:01:13.380829,4168.462,4166.923,4257.949,4222.692,4185.769,4154.103,4134.231,4190.385,4210.769,4139.615,4542.308,4261.795,4348.846,4450.513
1970-01-14 10:01:13.380856,4163.59,4162.436,4249.359,4213.077,4136.667,4137.564,4122.179,4181.41,4204.231,4128.462,4533.077,4254.359,4340.256,4442.308
1970-01-14 10:01:13.383381,4163.462,4161.026,4249.487,4208.718,4141.538,4132.179,4117.179,4175.897,4199.487,4122.308,4529.103,4253.462,4337.179,4442.436
1970-01-14 10:01:13.397941,4168.333,4163.333,4257.692,4211.282,4201.795,4140.513,4120.897,4176.795,4199.103,4124.872,4532.179,4259.231,4341.282,4450.897
1970-01-14 10:01:13.397991,4174.103,4167.436,4268.59,4216.795,4280.0,4155.385,4129.359,4182.949,4202.821,4133.718,4539.103,4267.564,4348.59,4462.308
1970-01-14 10:01:13.398020,4176.026,4170.0,4275.0,4219.744,4327.179,4165.0,4135.256,4188.59,4206.923,4142.436,4544.359,4272.436,4353.077,4469.487
1970-01-14 10:01:13.398047,4173.077,4169.359,4272.821,4217.821,4317.436,4162.308,4133.718,4188.205,4207.692,4145.385,4544.231,4270.256,4351.538,4468.205
1970-01-14 10:01:13.410881,4168.974,4167.179,4264.744,4213.59,4267.564,4150.0,4125.513,4180.897,4204.231,4141.923,4539.872,4262.949,4346.795,4461.154
1970-01-14 10:01:13.410930,4168.718,4166.923,4257.949,4211.795,4221.41,4138.205,4116.923,4171.538,4199.231,4136.667,4535.897,4257.179,4345.256,4455.128
1970-01-14 10:01:13.410958,4174.615,4170.897,4258.205,4215.0,4211.41,4135.0,4113.974,4166.667,4196.538,4134.359,4536.667,4257.821,4350.385,4455.513
1970-01-14 10:01:13.425820,4183.846,4178.077,4265.769,4222.051,4230.897,4140.641,4117.436,4169.359,4197.179,4136.795,4542.308,4264.231,4359.872,4462.692
1970-01-14 10:01:13.425861,4191.026,4184.872,4275.897,4229.487,4243.718,4147.564,4123.205,4176.795,4199.487,4142.051,4549.487,4271.538,4367.308,4472.436
1970-01-14 10:01:13.425890,4192.692,4187.949,4283.718,4234.487,4220.256,4147.436,4126.538,4183.718,4201.795,4146.923,4554.359,4275.769,4368.333,4480.0
1970-01-14 10:01:13.425918,4189.872,4187.179,4286.795,4236.538,4168.077,4140.0,4125.897,4186.41,4203.205,4150.0,4555.513,4276.41,4363.718,4483.333
1970-01-14 10:01:13.440854,4186.41,4184.103,4284.872,4236.41,4126.154,4132.436,4123.59,4185.128,4203.077,4150.641,4553.333,4274.231,4358.59,4482.821
1970-01-14 10:01:13.440893,4185.0,4180.641,4279.359,4234.359,4132.949,4132.821,4122.564,4182.308,4201.923,4148.077,4548.077,4270.0,4356.795,4479.487
1970-01-14 10:01:13.440920,4185.385,4177.179,4272.051,4230.0,4194.231,4142.308,4123.59,4179.231,4199.872,4141.923,4540.769,4264.359,4357.436,4473.846
1970-01-14 10:01:13.440946,4185.0,4172.949,4265.256,4223.205,4278.077,4154.744,4125.128,4176.026,4197.436,4132.564,4533.077,4258.974,4357.051,4466.667
1970-01-14 10:01:13.458165,4182.949,4168.718,4261.026,4216.282,4337.436,4161.795,4125.0,4172.308,4194.872,4121.923,4527.692,4255.641,4354.103,4460.385
1970-01-14 10:01:13.458218,4181.154,4166.538,4260.769,4212.692,4342.051,4159.487,4122.308,4168.846,4192.692,4114.231,4526.282,4255.385,4350.385,4457.949
1970-01-14 10:01:13.458248,4182.821,4168.718,4264.359,4215.256,4297.564,4150.0,4118.333,4167.564,4191.923,4112.436,4529.615,4258.846,4349.872,4461.282
1970-01-14 10:01:13.470939,4188.846,4174.872,4270.256,4222.949,4236.538,4139.359,4115.769,4170.0,4193.718,4117.564,4536.282,4265.385,4354.487,4468.846
1970-01-14 10:01:13.470989,4196.538,4181.795,4275.513,4231.923,4193.205,4133.205,4115.897,4175.641,4197.436,4127.564,4543.333,4272.308,4362.179,4476.795
1970-01-14 10:01:13.471017,4202.051,4185.641,4277.821,4237.436,4182.308,4133.59,4118.333,4181.538,4200.897,4139.359,4547.949,4276.154,4369.103,4481.154
1970-01-14 10:01:13.471045,4203.333,4185.0,4276.667,4237.436,4195.769,4138.205,4121.538,4185.128,4202.564,4149.615,4548.846,4275.256,4372.308,4480.641
1970-01-14 10:01:13.485997,4202.051,4181.41,4274.103,4233.59,4214.487,4143.718,4124.359,4185.385,4202.692,4155.897,4547.436,4271.538,4371.667,4477.821
1970-01-14 10:01:13.486058,4200.513,4177.179,4272.179,4229.744,4223.59,4147.179,4125.128,4183.718,4203.077,4157.179,4545.897,4268.718,4368.718,4476.282
1970-01-14 10:01:13.486088,4200.256,4173.59,4271.154,4228.718,4220.0,4147.051,4123.59,4182.308,4204.744,4155.0,4545.641,4268.205,4365.128,4478.205
1970-01-14 10:01:13.486115,4201.026,4170.641,4270.641,4230.513,4209.231,4143.333,4120.256,4182.308,4207.051,4152.949,4546.41,4269.487,4362.436,4482.436
1970-01-14 10:01:13.486140,4201.538,4168.59,4270.769,4232.821,4199.231,4137.436,4116.923,4183.718,4209.231,4153.974,4548.077,4272.051,4361.538,4486.795
1970-01-14 10:01:13.500901,4201.026,4168.974,4272.949,4234.231,4198.718,4132.564,4115.0,4186.026,4210.513,4157.436,4551.282,4276.41,4363.59,4490.0
1970-01-14 10:01:13.500942,4200.256,4172.692,4277.436,4234.615,4214.744,4131.795,4114.744,4188.205,4210.385,4159.103,4556.026,4281.667,4368.718,4492.564
1970-01-14 10:01:13.500970,4200.769,4178.718,4282.308,4235.256,4246.026,4136.41,4115.641,4188.333,4207.949,4155.897,4560.769,4284.872,4375.385,4494.744
1970-01-14 10:01:13.500997,4203.333,4184.103,4284.615,4236.667,4279.615,4144.103,4116.667,4185.385,4204.103,4148.462,4561.795,4283.462,4379.744,4496.026
1970-01-14 10:01:13.516926,4206.41,4185.513,4283.077,4237.564,4297.692,4150.385,4116.538,4179.487,4199.615,4140.641,4556.923,4277.436,4378.333,4495.128
1970-01-14 10:01:13.516974,4206.667,4181.667,4278.205,4236.026,4292.949,4151.538,4114.487,4172.692,4195.385,4135.769,4547.436,4269.359,4370.769,4491.795
1970-01-14 10:01:13.517001,4202.179,4174.487,4271.923,4231.026,4274.744,4147.692,4110.513,4167.436,4192.051,4134.487,4537.692,4262.051,4360.641,4487.692
1970-01-14 10:01:13.531020,4194.359,4167.692,4266.41,4223.718,4258.718,4142.308,4106.154,4165.385,4190.641,4135.256,4532.051,4257.821,4353.846,4484.872
1970-01-14 10:01:13.531069,4187.564,4164.744,4263.077,4217.692,4252.051,4138.974,4103.333,4166.667,4192.179,4136.41,4532.051,4257.564,4353.462,4484.872
1970-01-14 10:01:13.531097,4185.769,4166.154,4262.308,4216.795,4247.821,4138.59,4103.59,4169.615,4196.154,4138.077,4536.026,4260.0,4358.846,4487.436
1970-01-14 10:01:13.531124,4189.487,4170.0,4263.333,4222.179,4234.103,4139.231,4106.538,4171.41,4200.128,4141.41,4540.769,4262.436,4365.769,4490.897
