Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
1.581,4.244,-120.27,-314.752,1.954,-0.964,52.413,-33.879,-6.088,7.217,-2.856,-2.969,-4.987,-23.912,-17.452,-19.05,39.986,10.588,1.82,1.496,-43.308,-14.183,-17.921,35.903,-106.1,-17.952,5.579,31.026,-18.232,2
0.043,-5.494,-118.1,-329.807,2.977,-3.525,20.085,-28.21,-7.619,9.259,-8.489,-8.089,-8.568,-11.592,-16.41,-22.105,41.483,6.991,-2.792,-0.555,-42.752,-15.194,-17.903,37.916,-113.678,-18.446,5.061,16.65,-3.357,2
-2.519,-18.297,-144.11,-349.457,-0.1,-16.329,52.853,-52.26,-21.956,-4.582,-14.115,-10.13,-18.294,-7.482,-23.053,-24.644,42.978,9.033,-8.937,-7.214,-47.833,-20.814,-20.959,32.243,-122.274,-25.088,-1.092,5.362,-19.235,2
-0.979,-11.618,-162.921,-335.788,3.486,-12.727,39.992,-53.745,-20.397,-5.09,-10.003,-4.997,-15.714,-13.622,-19.444,-26.156,42.935,19.782,-3.293,-2.084,-43.686,-19.769,-20.426,32.21,-101.659,-23.014,-0.579,14.579,-46.368,2
4.657,4.275,-147.389,-304.713,19.364,13.414,7.677,-20.903,1.14,17.969,1.79,-0.381,-2.378,-4.9,-5.592,-18.958,50.577,28.984,9.518,11.75,-30.323,-8.478,-9.134,48.572,-73.381,-5.06,12.742,26.347,-45.81,2
3.628,-1.877,-156.975,-322.339,12.172,7.765,40.457,-30.104,-9.107,10.266,-0.261,-7.041,-11.085,-6.944,-13.271,-17.402,47.452,18.709,6.947,6.103,-37.977,-3.859,-6.564,53.134,-91.75,-4.03,14.778,19.661,-46.788,2
-4.06,-22.88,-189.094,-354.292,-10.381,-20.42,73.204,-62.349,-34.201,-14.847,-15.63,-15.743,-29.005,-27.942,-30.677,-29.68,33.06,7.932,-2.794,-7.735,-51.771,-11.027,-14.242,44.372,-114.2,-19.908,0.419,6.833,-79.017,2
-1.495,-25.418,-214.008,-345.741,-2.174,-11.178,40.856,-43.332,-20.847,-3.049,-12.028,-8.555,-17.192,-21.766,-23.474,-30.163,39.175,19.195,5.406,-0.555,-43.523,-10.504,-8.08,48.938,-85.909,-17.326,-2.143,7.851,-107.627,2
8.753,-12.073,-213.794,-320.805,18.833,15.986,15.199,-10.501,6.326,18.983,7.964,5.286,4.342,0.797,-6.032,-15.788,55.017,33.52,19.745,12.253,-32.208,1.29,3.199,57.086,-58.159,-4.501,12.204,17.065,-103.933,2
6.695,-13.086,-223.314,-330.73,14.203,10.334,47.972,-25.859,4.783,14.866,6.419,3.744,1.263,-4.839,-7.562,-16.797,49.839,27.339,12.041,7.118,-35.762,2.825,-2.952,54.98,-81.667,-5.521,13.216,14.999,-107.928,2
